Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
IR,3,Amp_norm,Normal vs Congestion,0.984375,0.984626683,0.950756077,1,0.98646337,0.984375,1,134
IR,3,Amp_norm,Normal vs Ischaemia,0.984375,0.982950033,0.941131907,1,0.98646337,0.984375,1,128
IR,9,Amp_norm,Normal vs Ischaemia,0.960976282,0.960572614,0.915063539,1,0.365199673,0.959459459,1,172
IR,9,Amp_norm,Normal vs Congestion,0.942260442,0.944600763,0.890885483,0.986482802,0.365199673,0.959459459,0.883116883,151
IR,3,Pulse_Area,Normal vs Congestion,0.941786284,0.943438243,0.860563697,1,0.001289229,0.939393939,1,71
IR,3,Pulse_Area,Normal vs Ischaemia,0.940340909,0.941952408,0.868676219,1,0.001289229,0.939393939,1,65
Red,3,Amp_norm,Normal vs Ischaemia,0.931952663,0.931596824,0.885662563,0.964148694,0.841058564,0.884615385,1,208
IR,21,Amp_norm,Normal vs Ischaemia,0.916319926,0.914146514,0.872630345,0.958322906,0.085427889,0.876190476,1,208
IR,15,Amp_norm,Normal vs Ischaemia,0.883563406,0.881495665,0.822030022,0.933190114,0.122704336,0.869158879,1,216
IR,9,Pulse_Area,Normal vs Ischaemia,0.845959596,0.843729521,0.751858998,0.926109307,0.000463514,0.761904762,1,108
IR,15,Amp_norm,Normal vs Congestion,0.839163329,0.842132592,0.775880297,0.908934285,0.179790602,0.794392523,1,212
Red,3,Pulse_Area,Normal vs Ischaemia,0.7804414,0.779758376,0.700394726,0.843964155,0.000501908,0.589041096,0.944444444,145
IR,21,Pulse_Area,Normal vs Ischaemia,0.769170579,0.764673477,0.68454796,0.835128443,0.000111443,0.583333333,0.957746479,143
IR,9,Pulse_Area,Normal vs Congestion,0.768783069,0.764628013,0.651354146,0.862765664,0.000465277,0.738095238,0.888888889,87
Red,9,Amp_norm,Normal vs Ischaemia,0.747952279,0.747721636,0.667498469,0.81357565,0.36436346,0.730769231,0.740740741,212
IR,15,Pulse_Area,Normal vs Ischaemia,0.748650472,0.745911989,0.662650146,0.834990823,0.000164899,0.657894737,0.935897436,154
Red/IR_Ratio,21,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.720948042,0.720586076,0.713786013,0.72724354,3.746429108,0.733771178,0.639920046,21012
Red/IR_Ratio,21,Red_IR_amp_ratio,Ischaemia vs Congestion,0.719775169,0.719413612,0.712536058,0.726151386,1.737994711,0.731486769,0.640015229,21012
IR,9,RiseTime,Normal vs Ischaemia,0.703463203,0.699724199,0.606755855,0.798080253,0.1655,0.833333333,0.590909091,108
IR,3,PulseWidth,Ischaemia vs Congestion,0.641447368,0.655762778,0.5218519,0.787060376,0.5245,0.5625,0.736842105,70
Red/IR_Ratio,15,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.648996068,0.649263879,0.641620246,0.656175513,2.679343917,0.486503176,0.738857143,21836
