Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
Red,3,Amp_norm,Normal vs Ischaemia,0.9999999999999999,1.0,0.9999999999999999,1.0,0.8649626909951271,1.0,1.0,127
Red,3,Amp_norm,Normal vs Congestion,0.5176178660049627,0.5157704786388089,0.42416870656686656,0.6075877333049465,0.9882986966668904,0.6935483870967742,0.4461538461538461,127
Red,3,Amp_norm,Ischaemia vs Congestion,0.015147928994082788,0.014119875922626458,0.0,0.04761904761904767,inf,0.0,1.0,130
Red,3,RiseTime,Normal vs Ischaemia,0.36852394916911047,0.36988026431522797,0.23080096073517128,0.5189596861471862,0.11,1.0,0.030303030303030276,64
Red,3,RiseTime,Normal vs Congestion,0.4726295210166178,0.480617415842453,0.3439271749755621,0.6133764182902115,0.2695,0.5161290322580645,0.5757575757575757,64
Red,3,RiseTime,Ischaemia vs Congestion,0.5817263544536272,0.590398041051763,0.4345818014705883,0.7383410138248847,0.25,0.7272727272727273,0.5151515151515151,66
Red,3,FallTime,Normal vs Ischaemia,0.6622678396871945,0.6677523471208667,0.5186233031674208,0.7976881001667528,0.4485,0.8387096774193549,0.5757575757575757,64
Red,3,FallTime,Normal vs Congestion,0.4589442815249267,0.4709015396538244,0.32186069632594416,0.6149437927663735,0.588,0.1935483870967742,0.9696969696969697,64
Red,3,FallTime,Ischaemia vs Congestion,0.29660238751147844,0.29726394788184096,0.16660847315900043,0.4317114968511869,0.595,0.12121212121212122,0.9696969696969697,66
Red,3,PulseWidth,Normal vs Ischaemia,0.30791788856304986,0.3140830771784245,0.1763079828958583,0.4596106150793652,0.5255,0.9354838709677419,0.1515151515151515,64
Red,3,PulseWidth,Normal vs Congestion,0.43988269794721413,0.45037022574729124,0.3134500572000572,0.598375496031746,0.6845,0.16129032258064516,0.9393939393939394,64
Red,3,PulseWidth,Ischaemia vs Congestion,0.6538108356290174,0.650540042766155,0.5241850426895965,0.780592460572162,0.703,0.5151515151515151,0.9393939393939394,66
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.33919843597262955,0.3377485785011389,0.1861949303940405,0.4810478983382209,0.17535517321457628,1.0,0.030303030303030276,64
Red,3,RiseFall_ratio,Normal vs Congestion,0.47409579667644186,0.47721133086014783,0.34226417594064645,0.6217008797653958,0.5499988775533112,0.4838709677419355,0.6060606060606061,64
Red,3,RiseFall_ratio,Ischaemia vs Congestion,0.6382001836547291,0.6466862544097769,0.5025578398204011,0.7997308298319329,0.5096829568135437,0.8181818181818182,0.5151515151515151,66
Red,3,Pulse_Area,Normal vs Ischaemia,0.8494623655913979,0.8513324044177353,0.7350453808246523,0.9241527623285132,0.0011740272225786107,0.7741935483870968,0.8787878787878788,64
Red,3,Pulse_Area,Normal vs Congestion,0.4565004887585533,0.4629874418780219,0.33325892857142864,0.6003503349720455,0.001119044970051556,0.8709677419354839,0.18181818181818177,64
Red,3,Pulse_Area,Ischaemia vs Congestion,0.14325068870523414,0.14856565082548795,0.06738921404682274,0.23765485889512586,0.00036164924701810944,1.0,0.030303030303030276,66
Red,9,Amp_norm,Normal vs Ischaemia,0.7285873192436041,0.7224846483658388,0.6212057883522727,0.8111692064745546,0.550302751789399,0.6290322580645161,0.7931034482758621,120
Red,9,Amp_norm,Normal vs Congestion,0.36805922792173457,0.36624523316410473,0.2831572790807866,0.46393059855521157,0.6879915999749104,0.12903225806451613,1.0,123
Red,9,Amp_norm,Ischaemia vs Congestion,0.14584511023176938,0.14285486994257465,0.08262358425285114,0.21596290740016008,inf,0.0,1.0,119
Red,9,RiseTime,Normal vs Ischaemia,0.4627791563275434,0.4641525192798283,0.33294653524492235,0.6201570826981467,0.489,0.06451612903225806,1.0,57
Red,9,RiseTime,Normal vs Congestion,0.4935483870967742,0.4998677172683057,0.3524025901995682,0.6531998910675382,0.308,0.6774193548387096,0.4666666666666667,61
Red,9,RiseTime,Ischaemia vs Congestion,0.5108974358974359,0.5111253315215053,0.35599099042338705,0.6485033004679145,0.333,0.6153846153846154,0.5333333333333333,56
Red,9,FallTime,Normal vs Ischaemia,0.43176178660049624,0.4290038028616999,0.29720838612606904,0.6057017663043478,0.247,0.967741935483871,0.1923076923076923,57
Red,9,FallTime,Normal vs Congestion,0.3677419354838709,0.368150174649158,0.24111622398260332,0.5368928571428572,0.247,0.967741935483871,0.09999999999999998,61
Red,9,FallTime,Ischaemia vs Congestion,0.44166666666666665,0.453853782773584,0.30979530850893994,0.6117106986820332,0.607,0.07692307692307693,0.9666666666666667,56
Red,9,PulseWidth,Normal vs Ischaemia,0.41687344913151364,0.41495706823201955,0.2740088383838383,0.6100358796296297,0.3285,1.0,0.038461538461538436,57
Red,9,PulseWidth,Normal vs Congestion,0.4005376344086022,0.4065824043072629,0.2717622045747046,0.5553808691308693,inf,0.0,1.0,61
