Channel,Depth,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity
Red,3,Normal vs Ischaemia,1.0,1.0,1.0,1.0,0.9202453982672646,1.0,1.0
Red,3,Normal vs Congestion,0.7288888888888889,0.730338265588517,0.5745758235954314,0.8508979310449899,0.9815950912216722,0.7333333333333333,0.7
Red,3,Ischaemia vs Congestion,0.002222222222222222,0.0019277214807823207,0.0,0.0069470965530748175,inf,0.0,1.0
Red,9,Normal vs Ischaemia,0.7944444444444445,0.7840564036511573,0.6713038997579011,0.9016668420314253,0.5521472043274868,0.8,0.8
Red,9,Normal vs Congestion,0.5433333333333333,0.5368969758302033,0.35228840788840793,0.6941138737518774,0.5521472043274868,0.8,0.4
Red,9,Ischaemia vs Congestion,0.3188888888888889,0.32064925950548306,0.17341020887405761,0.464098998887653,0.4601226713943986,0.9666666666666667,0.06666666666666665
Red,15,Normal vs Ischaemia,0.4655555555555555,0.46821441361738636,0.31780133928571436,0.6401568409343715,0.460122672466999,0.9,0.2666666666666667
Red,15,Normal vs Congestion,0.54,0.5461571294068011,0.409075689935065,0.6982954298171691,0.4907975174377821,0.6,0.6333333333333333
Red,15,Ischaemia vs Congestion,0.48,0.4950154698342796,0.31562382164404224,0.648657142857143,0.5521472079223176,0.2,0.9666666666666667
Red,21,Normal vs Ischaemia,0.5700000000000001,0.5756648121510801,0.4403933621933622,0.7321706605673998,0.42944773881526993,0.6333333333333333,0.7333333333333334
Red,21,Normal vs Congestion,0.51,0.5057469299479801,0.3668411458333333,0.6675676339285715,0.3987729003234173,0.8,0.3666666666666667
Red,21,Ischaemia vs Congestion,0.36,0.3609277458824318,0.2087834631071561,0.5211988668510408,0.3680980618893908,0.9333333333333333,0.09999999999999998
IR,3,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,1.1963186839735083,1.0,1.0
IR,3,Normal vs Congestion,1.0,1.0,1.0,1.0,1.1963186839735083,1.0,1.0
IR,3,Ischaemia vs Congestion,0.7244444444444444,0.7251378177642294,0.5711700064641241,0.8423565175565176,0.9509199805885606,0.8666666666666667,0.6666666666666667
IR,9,Normal vs Ischaemia,0.9988888888888889,0.9986106542239185,0.9931428571428572,1.0,0.7668710989512549,0.9666666666666667,1.0
IR,9,Normal vs Congestion,0.9033333333333333,0.8998653587588592,0.8133124999999999,0.9737251300990432,0.7975459427579763,0.8,0.9666666666666667
IR,9,Ischaemia vs Congestion,0.0,0.0,0.0,0.0,inf,0.0,1.0
IR,15,Normal vs Ischaemia,1.0,1.0,0.9999999999999999,1.0,0.5214723212926867,1.0,1.0
IR,15,Normal vs Congestion,0.9555555555555556,0.9570870010868942,0.8797555696805974,0.9966943826473861,0.5521471637039589,0.8666666666666667,0.9666666666666667
IR,15,Ischaemia vs Congestion,0.06444444444444443,0.06292304653390092,0.009978571428571427,0.1436069781151273,inf,0.0,1.0
IR,21,Normal vs Ischaemia,0.8333333333333335,0.8356099842519501,0.7074279335235858,0.9266235176982363,0.46012265370183586,0.8333333333333334,0.8666666666666667
IR,21,Normal vs Congestion,0.7811111111111112,0.7797276987984374,0.6537571428571427,0.890590803872054,0.46012265370183586,0.8333333333333334,0.7666666666666666
IR,21,Ischaemia vs Congestion,0.24222222222222217,0.23749533125738242,0.11185714285714288,0.4016963292547275,inf,0.0,1.0
